"dataset_accession","n_rows","n_endpoint_mapped","n_pcr","n_rd","include_values","roles"
"GSE106977","119","119","46","73","subtype_only","subtype_validation_TNBC"
"GSE109710","173","173","103","70","subtype_only","subtype_validation_HER2_positive"
"GSE130786","110","110","47","63","subtype_only","subtype_validation_HER2_positive"
"GSE163882","222","222","80","142","yes","external_validation_6_RNAseq_FFPE"
"GSE194040","988","988","319","669","yes_stress_test","large_stress_test_I-SPY2"
"GSE20271","178","178","26","152","yes","external_validation_1"
"GSE25066","508","488","99","389","yes;no","discovery_model_reconstruction_base"
"GSE32646","115","115","27","88","yes","external_validation_2_and_TNBC_ER_negative"
"GSE41998","279","253","69","184","no;yes","external_validation_3"
"GSE50948","156","156","53","103","yes","external_validation_4_and_HER2_positive"
"GSE66305","88","88","27","61","yes","external_validation_5_and_HER2_positive"
