dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,score_status,calibration_bin,n,mean_predicted_probability,observed_pcr_rate,n_pcr
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,22,0.200030015673383,0.318181818181818,7
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,22,0.204860089011202,0.272727272727273,6
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,22,0.21131265035336,0.590909090909091,13
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,22,0.196021011407865,0.318181818181818,7
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,22,0.201981139963389,0.636363636363636,14
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,45,0.211073639054364,0.533333333333333,24
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,44,0.204747217501273,0.409090909090909,18
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,45,0.19692909616977,0.266666666666667,12
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,44,0.201817579922684,0.340909090909091,15
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,44,0.199572821688495,0.25,11
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,131,0.199871802929272,0.244274809160305,32
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,131,0.210403796960666,0.473282442748092,62
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,130,0.202400001613578,0.276923076923077,36
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,131,0.196141739257917,0.244274809160305,32
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,131,0.205368807275313,0.396946564885496,52
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,67,0.200047541322773,0.223880597014925,15
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,67,0.205085030211975,0.358208955223881,24
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,67,0.195991883150993,0.223880597014925,15
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,67,0.210368620620843,0.507462686567164,34
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,66,0.202694486598024,0.257575757575758,17
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,35,0.204895517213479,0.2,7
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,35,0.199579419072051,0.2,7
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,36,0.196614007672224,0.0277777777777778,1
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,36,0.202121612940006,0.0833333333333333,3
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,36,0.210950742253807,0.222222222222222,8
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,98,0.196120520966481,0.13265306122449,13
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,97,0.200021965507268,0.216494845360825,21
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,98,0.202272237947212,0.255102040816327,25
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,97,0.205067507655952,0.195876288659794,19
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,98,0.210855415608693,0.214285714285714,21
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,23,0.202818273185195,0.173913043478261,4
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,23,0.200021351166767,0.260869565217391,6
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,23,0.205742895076202,0.260869565217391,6
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,23,0.210314079899047,0.391304347826087,9
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,23,0.195313738209474,0.0869565217391304,2
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,51,0.202618458148934,0.274509803921569,14
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,51,0.21143252354721,0.411764705882353,21
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,50,0.205803689974881,0.42,21
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,51,0.195800538998986,0.117647058823529,6
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,50,0.19984640172812,0.14,7
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,31,0.201866702959514,0.32258064516129,10
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,31,0.210967253084177,0.387096774193548,12
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,31,0.204683438420378,0.32258064516129,10
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,31,0.199451782442711,0.419354838709677,13
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,32,0.197380628611882,0.25,8
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,5,18,0.210066904875142,0.333333333333333,6
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,3,18,0.202578441564542,0.277777777777778,5
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,1,18,0.195319277122756,0.222222222222222,4
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,4,17,0.206262193985388,0.470588235294118,8
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,scored_preferred_coverage,2,17,0.200015614253268,0.235294117647059,4
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,4,21,0.243562171415167,0.571428571428571,12
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,21,0.179986353397974,0.333333333333333,7
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,21,0.143332532129805,0.428571428571429,9
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,22,0.0909901517733349,0.318181818181818,7
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,22,0.330284358056597,0.5,11
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,5,45,0.292633111197021,0.422222222222222,19
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,3,44,0.192923826209794,0.454545454545455,20
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,2,44,0.146182840802141,0.295454545454545,13
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,1,45,0.0933635151665437,0.133333333333333,6
