classifier_id,classifier_name,pcr_specific,include_in_step3_coverage,gene_list_status,formula_reconstruction_status,endpoint_match_for_this_project,reproducibility_risk,recommended_step4_action,primary_reference_pmid,primary_reference_doi,primary_reference_url,notes
PAM50,PAM50 intrinsic subtype classifier,no,yes,available_from_genefu_source,centroid_classifier_possible_but_requires_preprocessing_decision,indirect_biology_or_prognostic_comparator,medium,eligible_for_platform_coverage_pass; scoring requires outcome-blind preprocessing rule,19204204,10.1200/JCO.2008.18.1370,https://pubmed.ncbi.nlm.nih.gov/19204204/,Useful as subtype/biology transferability benchmark; do not claim pCR predictor unless performance supports it.
MAMMAPRINT_70,MammaPrint / 70-gene signature,no,yes,available_from_genefu_source_with_unmapped_original_contigs,gene_set_level_possible_clinical_cutoff_not_reconstructed,indirect_biology_or_prognostic_comparator,medium,eligible_for_platform_coverage_pass; scoring requires outcome-blind preprocessing rule,11823860,10.1038/415530a,https://pubmed.ncbi.nlm.nih.gov/11823860/,"High clinical familiarity; use as transferability stress test, not as de novo pCR signature."
ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,no,yes,available_from_genefu_source,gene_set_level_possible_commercial_score_not_reconstructed,indirect_biology_or_prognostic_comparator,medium,eligible_for_platform_coverage_pass; scoring requires outcome-blind preprocessing rule,15591335,10.1056/NEJMoa041588,https://pubmed.ncbi.nlm.nih.gov/15591335/,Commercial score not reconstructed; gene-set availability still useful for platform coverage audit.
GGI_128_PROBE,Genomic Grade Index implementation in genefu,no,yes,available_from_genefu_source_with_unmapped_probes,score_possible_from_public/genefu_implementation_after_preprocessing_decision,indirect_biology_or_prognostic_comparator,medium,eligible_for_platform_coverage_pass; scoring requires outcome-blind preprocessing rule,16478745,10.1093/jnci/djj052,https://pubmed.ncbi.nlm.nih.gov/16478745/,Captures proliferation/grade signal; likely strong pCR correlate but not pCR-specific.
GENE76,Wang 76-gene distant-metastasis signature,no,yes,available_from_genefu_source_with_unmapped_probes,score_possible_from_public/genefu_implementation_after_preprocessing_decision,indirect_biology_or_prognostic_comparator,medium,eligible_for_platform_coverage_pass; scoring requires outcome-blind preprocessing rule,15721472,10.1016/S0140-6736(05)17947-1,https://pubmed.ncbi.nlm.nih.gov/15721472/,Legacy prognostic signature; include mainly as robustness/proliferation comparator.
ENDOPREDICT_11,EndoPredict 11-gene set,no,yes,available_from_genefu_source,gene_set_level_possible_clinical_calibration_not_reconstructed,indirect_biology_or_prognostic_comparator,medium,eligible_for_platform_coverage_pass; scoring requires outcome-blind preprocessing rule,21807638,10.1158/1078-0432.CCR-11-0926,https://pubmed.ncbi.nlm.nih.gov/21807638/,ER-positive/HER2-negative recurrence context; not central for all-NAC pCR benchmark.
IFNG_18,IFN-gamma-related 18-gene immune profile,no,yes,manual_public_gene_list,simple_gene_set_score_possible,indirect_biology_or_prognostic_comparator,low_to_medium,use_as_secondary_mechanistic_gene_set_score_after locking normalization,28650338,10.1172/JCI91190,https://pubmed.ncbi.nlm.nih.gov/28650338/,Immune comparator relevant to TNBC/HER2+ pCR biology; not breast-NAC-specific classifier.
CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,no,yes,manual_public_gene_list,simple_two_gene_score_possible,indirect_biology_or_prognostic_comparator,low_to_medium,use_as_secondary_mechanistic_gene_set_score_after locking normalization,25594174,10.1016/j.cell.2014.12.033,https://pubmed.ncbi.nlm.nih.gov/25594174/,Minimal immune cytotoxicity comparator; highly reproducible but too small as standalone classifier.
HESS_PCR_30,Hess 30-gene pharmacogenomic pCR predictor,yes,no,not_encoded_v1_requires_supplement_formula_review,not_reconstructed_in_v1,direct_pcr_rd_endpoint_match,high,do_not_score_in_main_analysis_until_exact_formula_and_inputs_are_recovered,16896004,10.1200/JCO.2006.05.6861,https://pubmed.ncbi.nlm.nih.gov/16896004/,"Important prior pCR predictor; do not implement until exact gene/probe list, preprocessing and classifier rule are recovered."
HATZIS_PCR_PREDICTOR,Hatzis taxane-anthracycline genomic response/survival predictor,yes,no,not_encoded_v1_requires_supplement_formula_review,not_reconstructed_in_v1,direct_pcr_rd_endpoint_match,high,do_not_score_in_main_analysis_until_exact_formula_and_inputs_are_recovered,21558518,10.1001/jama.2011.593,https://pubmed.ncbi.nlm.nih.gov/21558518/,Important prior pCR predictor; do not implement until exact model object/rule and preprocessing are recovered.
HER2DX,HER2DX genomic test,partly,no,not_encoded_v1_proprietary_or_not_fully_public,not_reconstructed_in_v1,subtype_or_context_specific_pcr_relevance,high,do_not_score_in_main_analysis_until_exact_formula_and_inputs_are_recovered,41324567,10.1158/1078-0432.CCR-25-3123,https://pubmed.ncbi.nlm.nih.gov/41324567/,Recent HER2+ assay context; likely proprietary/commercial details limit independent reconstruction.
TNBCTYPE,TNBCtype expression subtype classifier,no,no,not_encoded_v1_requires_classifier_centroid_software_review,not_reconstructed_in_v1,indirect_biology_or_prognostic_comparator,high,do_not_score_in_main_analysis_until_exact_formula_and_inputs_are_recovered,21633166,10.1172/JCI45014,https://pubmed.ncbi.nlm.nih.gov/21633166/,"Subtype classifier may be useful for TNBC subset, but needs separate centroid/software reproducibility review."
