matrix_label,classifier_id,classifier_name,n_harmonized_genes,n_genes_present,missing_genes,n_source_rows_total,n_source_rows_with_harmonized_gene_symbol,n_unique_harmonized_genes,coverage_pct_of_harmonized,coverage_grade,dataset_accession,platform,planned_role,story_scope,usable_for_full_benchmark,usable_for_subtype_only_validation,expression_scale_guess,analysis_set
GSE106977_GPL17586,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,0,GZMA;PRF1,2,2,2,0,poor,GSE106977,GPL17586,subtype_validation_TNBC,subtype_TNBC_ER_negative,no,limited_gene_space_review_needed,likely_log2_or_normalized_continuous,limited_subtype_panel_or_gene_space
GSE109710_GPL24546,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,0,GZMA;PRF1,2,2,2,0,poor,GSE109710,GPL24546,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes_limited_panel_only,likely_linear_count_or_unlogged_intensity,limited_subtype_panel_or_gene_space
GSE130786_GPL6480,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE130786,GPL6480,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes,likely_log2_or_normalized_continuous,subtype_validation_only
GSE163882_GPL18573,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE163882,GPL18573,external_validation_6_RNAseq_FFPE,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE194040_GPL20078,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE194040,GPL20078,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE194040_GPL30493,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE194040,GPL30493,large_stress_test_I-SPY2,full_benchmark_stress;subtype_TNBC_ER_negative;subtype_HER2_positive,stress_test_only,yes,likely_log2_or_normalized_continuous,large_stress_test
GSE20271_GPL96,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE20271,GPL96,external_validation_1,full_benchmark,yes,no,likely_linear_count_or_unlogged_intensity,core_full_benchmark
GSE25066_GPL96,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE25066,GPL96,discovery_model_reconstruction_base,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE32646_GPL570,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE32646,GPL570,external_validation_2_and_TNBC_ER_negative,full_benchmark;subtype_TNBC_ER_negative,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE41998_GPL571,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE41998,GPL571,external_validation_3,full_benchmark,yes,no,likely_log2_or_normalized_continuous,core_full_benchmark
GSE50948_GPL570,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE50948,GPL570,external_validation_4_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE66305_GPL570,CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,2,2,"",2,2,2,100,excellent,GSE66305,GPL570,external_validation_5_and_HER2_positive,full_benchmark;subtype_HER2_positive,yes,yes,likely_log2_or_normalized_continuous,core_full_benchmark
GSE106977_GPL17586,ENDOPREDICT_11,EndoPredict 11-gene set,11,0,AZGP1;BIRC5;CALM2;DHCR7;IL6ST;MGP;OAZ1;RBBP8;RPL37A;STC2;UBE2C,11,11,11,0,poor,GSE106977,GPL17586,subtype_validation_TNBC,subtype_TNBC_ER_negative,no,limited_gene_space_review_needed,likely_log2_or_normalized_continuous,limited_subtype_panel_or_gene_space
GSE109710_GPL24546,ENDOPREDICT_11,EndoPredict 11-gene set,11,2,AZGP1;CALM2;DHCR7;IL6ST;MGP;OAZ1;RBBP8;RPL37A;STC2,11,11,11,18.2,poor,GSE109710,GPL24546,subtype_validation_HER2_positive,subtype_HER2_positive,no,yes_limited_panel_only,likely_linear_count_or_unlogged_intensity,limited_subtype_panel_or_gene_space
