dataset_accession,matrix_label,matrix_file,platform,gsm_sample_id,patient_id,matrix_sample_id,match_status
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615096,1002,GSM615096,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615097,1005,GSM615097,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615098,1009,GSM615098,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615099,1011,GSM615099,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615100,1016,GSM615100,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615101,1019,GSM615101,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615102,1027,GSM615102,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615103,1031,GSM615103,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615104,1034,GSM615104,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615105,1035,GSM615105,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615106,1037,GSM615106,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615107,1038,GSM615107,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615108,1041,GSM615108,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615109,1044,GSM615109,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615110,1045,GSM615110,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615111,1049,GSM615111,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615112,1050,GSM615112,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615113,1054,GSM615113,matched
GSE25066,GSE25066_GPL96,GSE25066_series_matrix.txt.gz,GPL96,GSM615114,1055,GSM615114,matched
