dataset_accession,matrix_label,platform,analysis_set,subtype_group,classifier_id,classifier_score_name,n,n_pcr,n_rd,pcr_prevalence,discovery_aligned_auc,average_precision_pr_auc
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,PAM50,PAM50 non-luminal affinity score,295,36,259,0.122033898305085,0.73981123981124,0.272375613968959
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,PAM50,PAM50 non-luminal affinity score,170,57,113,0.335294117647059,0.587796925943177,0.433358014202228
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,295,36,259,0.122033898305085,0.773380523380523,0.316170061257829
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,170,57,113,0.335294117647059,0.584070796460177,0.459243127108313
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,295,36,259,0.122033898305085,0.792792792792793,0.359272089116425
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,170,57,113,0.335294117647059,0.605651296382549,0.471013193461102
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,GENE76,Wang 76-gene weighted risk score,295,36,259,0.122033898305085,0.712998712998713,0.220956946500876
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,GENE76,Wang 76-gene weighted risk score,170,57,113,0.335294117647059,0.592144077006676,0.433782674942315
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,295,36,259,0.122033898305085,0.734341484341484,0.29664779934721
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,170,57,113,0.335294117647059,0.507529886663562,0.342481459477099
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,IFNG_18,IFN-gamma 18-gene mean z score,295,36,259,0.122033898305085,0.584405834405834,0.200744697387942
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,IFNG_18,IFN-gamma 18-gene mean z score,170,57,113,0.335294117647059,0.500853904673187,0.340189917252214
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,295,36,259,0.122033898305085,0.493457743457743,0.118669450274267
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,170,57,113,0.335294117647059,0.490917559385189,0.318693348075247
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,PAM50,PAM50 non-luminal affinity score,59,13,46,0.220338983050847,0.508361204013378,0.255633097033515
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,PAM50,PAM50 non-luminal affinity score,93,6,87,0.0645161290322581,0.656130268199234,0.10533746033062
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HER2_positive,PAM50,PAM50 non-luminal affinity score,26,7,19,0.269230769230769,0.759398496240602,0.561819727891156
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,59,13,46,0.220338983050847,0.414715719063545,0.276256965066693
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,93,6,87,0.0645161290322581,0.775862068965517,0.176493930905696
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HER2_positive,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,26,7,19,0.269230769230769,0.586466165413534,0.361054421768708
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,59,13,46,0.220338983050847,0.588628762541806,0.399376489441004
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,93,6,87,0.0645161290322581,0.716475095785441,0.171486175115207
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HER2_positive,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,26,7,19,0.269230769230769,0.586466165413534,0.338559269861791
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,GENE76,Wang 76-gene weighted risk score,59,13,46,0.220338983050847,0.511705685618729,0.328431718129292
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,GENE76,Wang 76-gene weighted risk score,93,6,87,0.0645161290322581,0.622605363984674,0.111329460013671
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HER2_positive,GENE76,Wang 76-gene weighted risk score,26,7,19,0.269230769230769,0.616541353383459,0.330682622699429
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,59,13,46,0.220338983050847,0.409698996655518,0.201814322231422
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,ENDOPREDICT_11,EndoPredict approximate weighted expression score,93,6,87,0.0645161290322581,0.760536398467433,0.154072681704261
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HER2_positive,ENDOPREDICT_11,EndoPredict approximate weighted expression score,26,7,19,0.269230769230769,0.571428571428571,0.386838651544534
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,IFNG_18,IFN-gamma 18-gene mean z score,59,13,46,0.220338983050847,0.591973244147157,0.451181401733486
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,IFNG_18,IFN-gamma 18-gene mean z score,93,6,87,0.0645161290322581,0.827586206896552,0.178559556006311
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HER2_positive,IFNG_18,IFN-gamma 18-gene mean z score,26,7,19,0.269230769230769,0.992481203007519,0.982142857142857
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,59,13,46,0.220338983050847,0.481605351170569,0.262384658643684
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HR_positive_HER2_negative,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,93,6,87,0.0645161290322581,0.733716475095785,0.36705586189278
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,HER2_positive,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,26,7,19,0.269230769230769,0.766917293233083,0.495331465919701
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,PAM50,PAM50 non-luminal affinity score,55,5,50,0.0909090909090909,0.7,0.177248677248677
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,PAM50,PAM50 non-luminal affinity score,26,10,16,0.384615384615385,0.5125,0.409793087889063
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HER2_positive,PAM50,PAM50 non-luminal affinity score,34,12,22,0.352941176470588,0.708333333333333,0.513640873015873
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,55,5,50,0.0909090909090909,0.776,0.22574016563147
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,26,10,16,0.384615384615385,0.6,0.477037178507767
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HER2_positive,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,34,12,22,0.352941176470588,0.651515151515152,0.551870922922091
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,55,5,50,0.0909090909090909,0.724,0.171014867485456
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,26,10,16,0.384615384615385,0.54375,0.480550707462472
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HER2_positive,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,34,12,22,0.352941176470588,0.768939393939394,0.575142206005209
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,55,5,50,0.0909090909090909,0.756,0.193723776223776
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,TNBC_or_ER_PR_HER2_negative,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,26,10,16,0.384615384615385,0.58125,0.462944147355912
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HER2_positive,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,34,12,22,0.352941176470588,0.689393939393939,0.53208331020831
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,HR_positive_HER2_negative,GENE76,Wang 76-gene weighted risk score,55,5,50,0.0909090909090909,0.64,0.158077188511971
