classifier_id,classifier_name,original_endpoint_or_use,pcr_specific,primary_scope_for_this_project,gene_list_status,formula_reconstruction_status,primary_reference_pmid,primary_reference_doi,primary_reference_url,gene_list_source_url,include_in_step3_coverage,notes
PAM50,PAM50 intrinsic subtype classifier,Intrinsic subtype / ROR-related biology; not originally a pCR classifier,no,full_benchmark_and_subtype_context,available_from_genefu_source,centroid_classifier_possible_but_requires_preprocessing_decision,19204204,10.1200/JCO.2008.18.1370,https://pubmed.ncbi.nlm.nih.gov/19204204/,https://bioconductor.org/packages/release/bioc/html/genefu.html,yes,Useful as subtype/biology transferability benchmark; do not claim pCR predictor unless performance supports it.
MAMMAPRINT_70,MammaPrint / 70-gene signature,Distant metastasis / prognosis; not originally a pCR classifier,no,full_benchmark,available_from_genefu_source_with_unmapped_original_contigs,gene_set_level_possible_clinical_cutoff_not_reconstructed,11823860,10.1038/415530a,https://pubmed.ncbi.nlm.nih.gov/11823860/,https://bioconductor.org/packages/release/bioc/html/genefu.html,yes,"High clinical familiarity; use as transferability stress test, not as de novo pCR signature."
ONCOTYPE_DX_21,Oncotype DX 21-gene recurrence score gene set,Recurrence score in ER-positive breast cancer; not originally a pCR classifier,no,full_benchmark_with_HR_positive_caveat,available_from_genefu_source,gene_set_level_possible_commercial_score_not_reconstructed,15591335,10.1056/NEJMoa041588,https://pubmed.ncbi.nlm.nih.gov/15591335/,https://bioconductor.org/packages/release/bioc/html/genefu.html,yes,Commercial score not reconstructed; gene-set availability still useful for platform coverage audit.
GGI_128_PROBE,Genomic Grade Index implementation in genefu,Histologic grade / prognosis; not originally a pCR classifier,no,full_benchmark,available_from_genefu_source_with_unmapped_probes,score_possible_from_public/genefu_implementation_after_preprocessing_decision,16478745,10.1093/jnci/djj052,https://pubmed.ncbi.nlm.nih.gov/16478745/,https://bioconductor.org/packages/release/bioc/html/genefu.html,yes,Captures proliferation/grade signal; likely strong pCR correlate but not pCR-specific.
GENE76,Wang 76-gene distant-metastasis signature,Distant metastasis in lymph-node-negative breast cancer; not originally a pCR classifier,no,full_benchmark,available_from_genefu_source_with_unmapped_probes,score_possible_from_public/genefu_implementation_after_preprocessing_decision,15721472,10.1016/S0140-6736(05)17947-1,https://pubmed.ncbi.nlm.nih.gov/15721472/,https://bioconductor.org/packages/release/bioc/html/genefu.html,yes,Legacy prognostic signature; include mainly as robustness/proliferation comparator.
ENDOPREDICT_11,EndoPredict 11-gene set,Distant recurrence in ER-positive HER2-negative breast cancer; not originally a pCR classifier,no,HR_positive_context_only,available_from_genefu_source,gene_set_level_possible_clinical_calibration_not_reconstructed,21807638,10.1158/1078-0432.CCR-11-0926,https://pubmed.ncbi.nlm.nih.gov/21807638/,https://bioconductor.org/packages/release/bioc/html/genefu.html,yes,ER-positive/HER2-negative recurrence context; not central for all-NAC pCR benchmark.
IFNG_18,IFN-gamma-related 18-gene immune profile,Immune response profile linked to anti-PD-1 response; mechanism comparator for pCR biology,no,TNBC_HER2_positive_immune_sensitivity,manual_public_gene_list,simple_gene_set_score_possible,28650338,10.1172/JCI91190,https://pubmed.ncbi.nlm.nih.gov/28650338/,https://pubmed.ncbi.nlm.nih.gov/28650338/,yes,Immune comparator relevant to TNBC/HER2+ pCR biology; not breast-NAC-specific classifier.
CYTOLYTIC_ACTIVITY_2,Cytolytic activity score,Tumor immune cytolytic activity; mechanism comparator for pCR biology,no,TNBC_HER2_positive_immune_sensitivity,manual_public_gene_list,simple_two_gene_score_possible,25594174,10.1016/j.cell.2014.12.033,https://pubmed.ncbi.nlm.nih.gov/25594174/,https://pubmed.ncbi.nlm.nih.gov/25594174/,yes,Minimal immune cytotoxicity comparator; highly reproducible but too small as standalone classifier.
HESS_PCR_30,Hess 30-gene pharmacogenomic pCR predictor,Pathologic complete response to paclitaxel followed by FAC in breast cancer,yes,literature_anchor_not_implemented_v1,not_encoded_v1_requires_supplement_formula_review,not_reconstructed_in_v1,16896004,10.1200/JCO.2006.05.6861,https://pubmed.ncbi.nlm.nih.gov/16896004/,,no,"Important prior pCR predictor; do not implement until exact gene/probe list, preprocessing and classifier rule are recovered."
HATZIS_PCR_PREDICTOR,Hatzis taxane-anthracycline genomic response/survival predictor,pCR and survival after taxane-anthracycline chemotherapy for invasive breast cancer,yes,literature_anchor_not_implemented_v1,not_encoded_v1_requires_supplement_formula_review,not_reconstructed_in_v1,21558518,10.1001/jama.2011.593,https://pubmed.ncbi.nlm.nih.gov/21558518/,,no,Important prior pCR predictor; do not implement until exact model object/rule and preprocessing are recovered.
HER2DX,HER2DX genomic test,HER2-positive early breast cancer genomic test; pCR/biology associations reported,partly,HER2_positive_context_not_implemented_v1,not_encoded_v1_proprietary_or_not_fully_public,not_reconstructed_in_v1,41324567,10.1158/1078-0432.CCR-25-3123,https://pubmed.ncbi.nlm.nih.gov/41324567/,,no,Recent HER2+ assay context; likely proprietary/commercial details limit independent reconstruction.
TNBCTYPE,TNBCtype expression subtype classifier,Triple-negative breast cancer expression subtype assignment,no,TNBC_context_not_implemented_v1,not_encoded_v1_requires_classifier_centroid_software_review,not_reconstructed_in_v1,21633166,10.1172/JCI45014,https://pubmed.ncbi.nlm.nih.gov/21633166/,,no,"Subtype classifier may be useful for TNBC subset, but needs separate centroid/software reproducibility review."
